Year,Type,Question,Qption_A,Qption_B,Qption_C,Qption_D,Category,Marks,Answer
qp_2020,,"Consider the Boolean function z(a, b, c).

    <img src=""img/2020_38.png"" width=""100px"" height=""100px"" />

Which one of the following minterm lists represents the circuit given above?","z = &sum;(0, 1, 3, 7)","z = &sum;(1, 4, 5, 6, 7)","z = &sum;(2, 4, 5, 6, 7)","z = &sum;(2, 3, 5)",DigitalLogic,,
qp_2020,,"Consider three registers R1, R2, and R3 that store numbers in IEEE-754 single
precision floating point format. Assume that R1 and R2 contain the values (in
hexadecimal notation) 0x42200000 and 0xC1200000, respectively.

If R3 = R1/R2. what is the value stored in R3?",0x40800000,0xC0800000,0x83400000,0xC8500000,DigitalLogic,,
qp_2020,,"A computer system with a word length of 32 bits has a 16 MB byte-addressable
main memory and a 64 KB, 4-way set associative cache memory with a block size
of 256 bytes. Consider the following four physical addresses represented in
hexadecimal notation.

    A1 = 0x42C8A4, A2 = 0x546888, A3 = 0x6A289C, A4 = 0x5E4880

Which one of the following is TRUE?",A1 and A4 are mapped to different cache sets.,A2 and A3 are mapped to the same cache set.,A3 and A4 are mapped to the same cache set.,A1 and A3 are mapped to the same cache set.,,,
qp_2020,,"Let G = (V,E) be a weighted undirected graph and let T be a Minimum
Spanning Tree (MST) of G maintained using adjacency lists. Suppose a new
weighted edge (u,v) &isin; V X V is added to G. The worst case time complexity of
determining if T is still an MST of the resultant graph is",&Theta;(|E| + |V|),&Theta;(|E||V|),&Theta;(|E|log|V|),&Theta;(|V|),,,
qp_2020,,"Consider the following languages.

    L<sub>1</sub> = {wxyx | w,x,y &isin; (0 + 1)<sup>+</sup>}

    L<sub>2</sub> = {xy |x,y &isin; (a + b)<sup>*</sup>, |x| = |y|, x &ne; y}

Which one of the following is TRUE?",L<sub>1</sub> is regular and L<sub>2</sub> is context-free.,L<sub>1</sub> is context-free but not regular and L<sub>2</sub> is context-free.,Neither L<sub>1</sub> nor L<sub>2</sub> is context-free.,L<sub>1</sub> is context-free but L<sub>2</sub> is not context-free.,,,
qp_2020,,"Consider the productions A &rarr; PQ and A &rarr; XY. Each of the five non-terminals A,
P, Q, X, and Y has two attributes: s is a synthesized attribute, and i is an inherited
attribute. Consider the following rules.

    Rule 1: P.i = A.i + 2, Q.i = P.i + A.i, and A.s = P.s + Q.s
    
    Rule 2: X.i = A.i + Y.s and Y.i= X.s + Ai

Which one of the following is TRUE?",Both Rule 1 and Rule 2 are L-attributed.,Only Rule 1 is L-attributed.,Only Rule 2 is L-attributed.,Neither Rule 1 nor Rule 2 is L-attributed.,,,
qp_2020,,"Each of a set of n processes executes the following code using two semaphores
a and b initialized to 1 and 0, respectively. Assume that count is a shared
variable initialized to 0 and not used in CODE SECTION P.

    CODE SECTION P
    wait(a); count = count + 1;
    if (count == n) signal(b);
    signal(a); wait(b); signal(b);
    CODE SECTION Q

What does the code achieve?","It ensures that no process executes CODE SECTION Q before every process has
    finished CODE SECTION P.",It ensures that at most two processes are in CODE SECTION Q at any time.,It ensures that all processes execute CODE SECTION P mutually exclusively.,It ensures that at most n-1 processes are in CODE SECTION P at any time.,,,
qp_2020,,"Consider the following five disk access requests of the form (request id, cylinder
number) that are present in the disk scheduler queue at a given time.
    
    (P, 155), (Q, 85), (R, 110), (S, 30), (T, 115)

Assume the head is positioned at cylinder 100. The scheduler follows Shortest
Seek Time First scheduling to service the requests.

Which one of the following statements is FALSE?",T is serviced before P.,"Q is serviced after S, but before T.",The head reverses its direction of movement between servicing of Q and P.,R is serviced before P.,,,
qp_2020,,"Consider a relational table R that is in 3NF, but not in BCNF. Which one of the
following statements is TRUE?","R has a nontrivial functional dependency X &rarr; A, where X is not a superkey
    and A is a prime attribute.","R has a nontrivial functional dependency X &rarr; A, where X is not a superkey
    and A is a non-prime attribute and X is not a proper subset of any key.","R has a nontrivial functional dependency X &rarr; A, where X is not a superkey
    and A is a non-prime attribute and X is a proper subset of some key.",A cell in R holds a set instead of an atomic value.,Databases,,
qp_2020,,"Consider a schedule of transactions T<sub>1</sub> and T<sub>2</sub>:

  T<sub>1</sub> | RA |    |    | RC |    | WD |    | WB | Commit |
  T<sub>2</sub> |    | RB | WB |    | RD |    | WC |    |        | Commit |

Here, RX stands for ""Read(X)"" and WX stands for ""Write(X)"". Which one of the
following schedules is conflict equivalent to the above schedule?","T<sub>1</sub> |    |    |    | RA | RC | WD | WB |    | Commit |
    T<sub>2</sub> | RB | WB | RD |    |    |    |    | WC |        | Commit |","T<sub>1</sub> | RA | RC | WD | WB |    |    |    |    | Commit |
    T<sub>2</sub> |    |    |    |    | RB | WB | RD | WC |        | Commit |","T<sub>1</sub> | RA | RC | WD |    |    |    | WB |    | Commit |
    T<sub>2</sub> |    |    |    | RB | WB | RD |    | WC |        | Commit |","T<sub>1</sub> |    |    |    |    | RA | RC | WD | WB | Commit |
    T<sub>2</sub> | RB | WB | RD | WC |    |    |    |    |        | Commit |",,,
qp_2020,,"An organization requires a range of IP addresses to assign one to each of its 1500
computers. The organization has approached an Internet Service Provider (ISP)
for this task. The ISP uses CIDR and serves the requests from the available IP
address space 202.61.0.0/17. The ISP wants to assign an address space to the
organization which will minimize the number of routing entries in the ISP's router
using route aggregation. Which of the following address spaces are potential
candidates from which the ISP can allot any one to the organization?

    I. 202.61.84.0/21
   II. 202.61.104.0/21
  III. 202.61.64.0/21
   IV. 202.61.144.0/21",I and II only,II and III only,III and IV only,I and IV only,,,
qp_2020,,"Which one of the following predicate formulae is NOT logically valid?

Note that W is a predicate formula without any free occurrence of x.",&forall;x(p(x) &or; W) &equiv; &forall;xp(x) &or; W,&exist;x(p(x) &and; W) &equiv; &exist;xp(x) &and; W,&forall;x(p(x) &rarr; W) &equiv; &forall;xp(x) &rarr; W,&exist;x(p(x) &rarr; W) &equiv; &forall;xp(x) &rarr; W,,,
qp_2020,,"Let G = (V,E) be a directed, weighted graph with weight function w:E &rarr; R.
For some function f:V &rarr; R, for each edge (u, v) &isin; E, define w'(u,v) as
w(u, v) + f(u) - f(v).

Which one of the options completes the following sentence so that it is TRUE?
""The shortest paths in G under w are shortest paths under w' too,_____"" .",for every f:V &rarr; R,"if and only if &forall;u &isin; V, f(u) is positive","if and only if &forall;u &isin; V, f(u) is negative","if and only if f(w) is the distance from s to u in the graph obtained by adding a
    new vertex s to G and edges of zero weight from s to every vertex of G",,,
qp_2020,,"In a balanced binary search tree with n elements, what is the worst case time
complexity of reporting all elements in range [a,b]? Assume that the number of
reported elements is k.",&Theta;(log n),&Theta;(log n + k),&Theta;(klog n),&Theta;(nlog k),,,
qp_2020,,"The number of permutations of the characters in LILAC so that no character
appears in its original position, if the two L's are indistinguishable, is ____ .",,,,,,,
qp_2020,,"Consider a non-pipelined processor operating at 2.5 GHz. It takes 5 clock cycles
to complete an instruction. You are going to make a 5-stage pipeline out of this
processor. Overheads associated with pipelining force you to operate the pipelined
processor at 2 GHz. In a given program, assume that 30% are memory
instructions, 60% are ALU instructions and the rest are branch instructions.
5% of the memory instructions cause stalls of 50 clock cycles each due to cache
misses and 50% of the branch instructions cause stalls of 2 cycles each. Assume
that there are no stalls associated with the execution of ALU instructions. For this
program, the speedup achieved by the pipelined processor over the non-pipelined
processor (round off to 2 decimal places) is ____ .",,,,,,,
qp_2020,,"A processor has 64 registers and uses 16-bit instruction format. It has two types of
instructions: I-type and R-type. Each I-type instruction contains an opcode, a
register name, and a 4-bit immediate value. Each R-type instruction contains an
opcode and two register names. If there are 8 distinct I-type opcodes, then the
maximum number of distinct R-type opcodes is ____ .",,,,,,,
qp_2020,,"For n > 2, let a &isin; {0,1}<sup>n</sup> be a non-zero vector. Suppose that x is chosen
uniformly at random from {0,1}<sup>n</sup>. Then, the probability that &sum;<sup>n</sup><sub>i=1</sub> a<sub>i</sub>b<sub>i</sub> is an odd
number is ____ .",,,,,,,
qp_2020,,"Consider the following C functions.

<code>   
    int fun1(int n) {            int fun2(int n) {
        static int i = 0;            static int i = 0;
        if (n > 0) {                 if (n > 0) {
            ++i;                         i = i + fun1(n);
            fun1(n - 1);                 fun2(n - 1);
        }                            }
        return (i);                  return (i);
    }                            }
</code>
The return value of fun2(5) is ____ .",,,,,,,
qp_2020,,"Consider the array representation of a binary min-heap containing 1023 elements.
The minimum number of comparisons required to find the maximum in the heap
is ____ .",,,,,,,
qp_2020,,"Consider the following C functions.

<code>
    int tob(int b, int* arr) {     int pp(int a, int b) {
        int i;                         int arr[20];
        for(i=0; b>O; i++) {           int i, tot = 1, ex, len;
            if(b % 2) arr[i]=1;        ex = a;
            else arr[i]=0;             len = tob(b, arr);
            b = b/2;                   for(i=0; i < len; i++) {
        }                                  if(arr[i] == 1)
        return (i);                            tot = tot * ex;
                                           ex = ex * ex;
   }                                   }
                                       return (tot);
                                   }
</code>

The value returned by pp(3,4) is ____ .",,,,,,,
qp_2020,,"Consider a graph G = (V,E), where V = {v<sub>1</sub>, v<sub>2</sub>, ..., V<sub>100</sub>}. E = {(v<sub>i</sub>, v<sub>j</sub>) | 1 &le; i <
j &le; 100}, and weight of the edge (v<sub>i</sub>, v<sub>j</sub>) is |i - j|. The weight of minimum
spanning tree of G is ____ .",,,,,,,
qp_2020,,"Consider the following set of processes, assumed to have arrived at time 0.
Consider the CPU scheduling algorithms Shortest Job First (SJF) and Round
Robin (RR). For RR, assume that the processes are scheduled in the order
P<sub>1</sub>, P<sub>2</sub>, P<sub>3</sub>, P<sub>4</sub>.

    Processes           P<sub>1</sub>  P<sub>2</sub>  P<sub>3</sub>  P<sub>4</sub>
    Burst time (in ms). 8   7   2   4 

If the time quantum for RR is 4 ms, then the absolute value of the difference
between the average turnaround times (in ms) of SJF and RR (round off to 2
decimal places) is ____ .",,,,,,,
qp_2020,,"Consider the following language.

  L = {x &isin; {a, b}<sup>*</sup> | number of a's in x is divisible by 2 but not divisible by 3}
The minimum number of states ina DFA that accepts L is ____ .",,,,,,,
qp_2020,,"Graph G is obtained by adding vertex s to K<sub>3,4</sub> and making s adjacent to every
vertex of K<sub>3,4</sub> The minimum number of colours required to edge-colour G
is ____ .",,,,,,,
qp_2020,,"Consider a paging system that uses 1-level page table residing in main memory
and a TLB for address translation. Each main memory access takes 100 ns and
TLB lookup takes 20 ns. Each page transfer to/from the disk takes 5000 ns.
Assume that the TLB hit ratio is 95%, page fault rate is 10%. Assume that for
20% of the total page faults, a dirty page has to be written back to disk before the
required page is read in from disk. TLB update time is negligible. The average
memory access time in ns (round off to 1 decimal places) is ____ .",,,,,,,
qp_2020,,"Consider a database implemented using B+ tree for file indexing and installed on
a disk drive with block size of 4 KB. The size of search key is 12 bytes and the
size of tree/disk pointer is 8 bytes. Assume that the database has one million
records. Also assume that no node of the B+ tree and no records are present
initially in main memory. Consider that each record fits into one disk block. The
minimum number of disk accesses required to retrieve any record in the database
is ____ .",,,,,,,
qp_2020,,"Consider a TCP connection between a client and a server with the following
specifications: the round trip time is 6 ms, the size of the receiver advertised
window is 50 KB, slow-start threshold at the client is 32 KB, and the maximum
segment size is 2 KB. The connection is established at time t = 0. Assume that
there are no timeouts and errors during transmission. Then the size of the
congestion window (in KB) at time t + 60 ms after all acknowledgements are
processed is ____ .",,,,,,,
qp_2018,,"""From where are they bringing their books? ____ bringing ____ books from
 ____."" 

The words that best fill the blanks in the above sentence are","Their, they're, there","They're, their, there","There, their, they're","They're, there, there",GeneralAptitude,,
qp_2018,,"""A ____ investigation can sometimes yield new facts, but typically organized ones 
are more successful."" 

The word that best fills the blank in the above sentence is",meandering,timely,consistent,systematic,GeneralAptitude,,
qp_2018,,"The area of a square is d. What is the area of the circle which has the diagonal of the 
square as its diameter?",&pi;d,&pi;d<sup>2</sup>,(1/4)&pi;d<sup>2</sup>,(1/2)&pi;d,GeneralAptitude,,
qp_2018,,"What would be the smallest natural number which when divided either by 20 or by 42 or 
by 76 leaves a remainder of 7 in each case?",3047,6047,7987,63847,GeneralAptitude,,
qp_2018,,"What is the missing number in the following sequence?  

2, 12, 60, 240, 720, 1440, ____,  0",2880,1440,720,0,GeneralAptitude,,
qp_2018,,"In appreciation of the social improvements completed in a town, a wealthy philanthropist 
decided to gift Rs 750 to each male senior citizen in the town and Rs 1000 to each female 
senior citizen. Altogether, there were 300 senior citizens eligible for this gift. However, 
only 8/9<sup>th</sup> of the eligible men and 2/3<sup>rd</sup> of the eligible women claimed the gift. How much 
money (in Rupees) did the philanthropist give away in total?","1,50,000","2,00,000","1,75,000","1,51,000",GeneralAptitude,,
qp_2018,,"If pqr &ne; 0 and p<sup>-x</sup> = 1/q , q<sup>-y</sup> = 1/r, r<sup>-z</sup> = 1/p , what is the value of the product xyz?",-1,1/(pqr),1,pqr,GeneralAptitude,,
qp_2018,,"In a party, 60% of the invited guests are male and 40% are female. If 80% of the invited 
guests attended the party and if all the invited female guests attended, what would be the 
ratio of males to females among the attendees in the party?",2:3,1:1,3:2,2:1,GeneralAptitude,,
qp_2018,,"In the figure below, &ang;DEC +  &ang;BFC is equal to ____ . 

    <img src=""img/2018_9.png"" width=""100px"" height=""100px"" />",&ang;BCD - &ang;BAD,&ang;BAD + &ang;BCF,&ang;BAD + &ang;BCD,&ang;CBA + &ang;ADC,GeneralAptitude,,
qp_2018,,"A six sided unbiased die with four green faces and two red faces is rolled seven times. 
Which of the following combinations is the most likely outcome of the experiment?",Three green faces and four red faces.,Four green faces and three red faces.,Five green faces and two red faces.,Six green faces and one red face.,GeneralAptitude,,
qp_2018,,"Which one of the following is a closed form expression for the generating function of the 
sequence {a<sub>n</sub>}, where a<sub>n</sub> = 2n + 3 for all n = 0, 1, 2,... ?",3/(1 - x)<sup>2</sup>,3x/(1 - x)<sup>2</sup>,(2 - x)/(1 - x)<sup>2</sup>,(3 - x)/(1 - x)<sup>2</sup>,,,
qp_2018,,"Consider the following C program. 

<code>
    #include<stdio.h> 
    struct Ournode{ 
        char x,y,z; 
    }; 

    int main(){ 
        struct Ournode p = {'1', '0', 'a'+2}; 
        struct Ournode *q = &p; 
        printf (""%c, %c"", *((char*)q+1), *((char*)q+2)); 
        return 0; 
    }
</code>

The output of this program is:","0, c","0, a+2","'0', 'a+2'","'0', 'c'",,,
qp_2018,,"A queue is implemented using a non-circular singly linked list. The queue has a head pointer 
and a tail pointer, as shown in the figure. Let n denote the number of nodes in the queue. Let 
enqueue be implemented by inserting a new node at the head, and dequeue be 
implemented by deletion of a node from the tail.  

<img src=""img/2018_3.png"" width=""100px"" height=""100px"" /> 

Which one of the following is the time complexity of the most time-efficient implementation 
of enqueue and dequeue, respectively, for this data structure?","&Theta;(1), &Theta;(1)","&Theta;(1), &Theta;(n)","&Theta;(n), &Theta;(1)","&Theta;(n), &Theta;(n)",,,
qp_2018,,"Let &oplus;  and  &odot; denote the Exclusive OR and Exclusive NOR operations, respectively. 
Which one of the following is NOT CORRECT?","<span class=""above_bar"">P &oplus; Q</span> = P &odot; Q","<span class=""above_bar"">P</span> &oplus; Q = P &odot; Q","<span class=""above_bar"">P</span> &oplus; <span class=""above_bar"">Q</span> = P &oplus; Q","(P &oplus; <span class=""above_bar"">P</span>) &oplus; Q =  (P &odot; <span class=""above_bar"">P</span>) &odot; <span class=""above_bar"">Q</span>",,,
qp_2018,,"Consider the following processor design characteristics. 

    I. Register-to-register arithmetic operations only 
   II. Fixed-length instruction format 
  III. Hardwired control unit 

Which of the characteristics above are used in the design of a RISC processor?", I and II only, II and III only, I and III only," I, II and III",,,
qp_2018,,"Let N be an NFA with n states. Let k be the number of states of a minimal DFA which is 
equivalent to N. Which one of the following is necessarily true?",k &ge; 2<sup>n</sup>,k &ge; n,k &le; n<sup>2</sup>,k &le; 2<sup>n</sup>,,,
qp_2018,,The set of all recursively enumerable languages is,closed under complementation.,closed under intersection.,a subset of the set of all recursive languages.,an uncountable set.,,,
qp_2018,,Which one of the following statements is FALSE?,Context-free grammar can be used to specify both lexical and syntax rules.,Type checking is done before parsing.,"High-level language programs can be translated to different Intermediate 
    Representations.",Arguments to a function can be passed using the program stack.,,,
qp_2018,,"The following are some events that occur after a device controller issues an interrupt while 
process L is under execution.  

(P) The processor pushes the process status of L onto the control stack. 
(Q) The processor finishes the execution of the current instruction. 
(R) The processor executes the interrupt service routine. 
(S) The processor pops the process status of L from the control stack. 
(T) The processor loads the new PC value based on the interrupt.
 
Which one of the following is the correct order in which the events above occur?",QPTRS,PTRSQ,TRPQS,QTPRS,,,
qp_2018,,"Consider a process executing on an operating system that uses demand paging. The average 
time for a memory access in the system is M units if the corresponding memory page is 
available in memory, and D units if the memory access causes a page fault. It has been 
experimentally measured that the average time taken for a memory access in the process is 
X units.  

Which one of the following is the correct expression for the page fault rate experienced by 
the process?",(D - M) / (X - M),(X - M) / (D - M),(D - X) / (D - M),(X - M) / (D - X),,,
qp_2018,,"In an Entity-Relationship (ER) model, suppose R is a many-to-one relationship from entity 
set E1 to entity set E2. Assume that E1 and E2 participate totally in R and that the cardinality 
of E1 is greater than the cardinality of E2. 

Which one of the following is true about R?",Every entity in E1 is associated with exactly one entity in E2.,Some entity in E1 is associated with more than one entity in E2.,Every entity in E2 is associated with exactly one entity in E1.,Every entity in E2 is associated with at most one entity in E1.,,,
qp_2018,,"Consider the following two tables and four queries in SQL. 

Book (<ins>isbn</ins>, bname), Stock (<ins>isbn</ins>, copies) 

Query 1:           SELECT B.isbn, S.copies 
                         FROM Book B INNER JOIN Stock S 
                         ON B.isbn = S.isbn; 

Query 2:           SELECT B.isbn, S.copies 
                         FROM Book B LEFT OUTER JOIN Stock S 
                         ON B.isbn = S.isbn; 

Query 3:           SELECT B.isbn, S.copies 
                          FROM Book B RIGHT OUTER JOIN Stock S 
                          ON B.isbn = S.isbn; 

Query 4:           SELECT B.isbn, S.copies 
                         FROM Book B FULL OUTER JOIN Stock S 
                         ON B.isbn = S.isbn; 

Which one of the queries above is certain to have an output that is a superset of the outputs 
of the other three queries?",Query 1,Query 2,Query 3,Query 4,Databases,,
qp_2018,,"Match the following: 

Field                                   Length in bits 

P.  UDP Header's Port Number            I. 48  
Q.  Ethernet MAC Address               II.  8 
R.  IPv6 Next Header                  III. 32 
S.  TCP Header's Sequence Number       IV. 16","P-III, Q-IV, R-II, S-I","P-II,   Q-I,    R-IV,  S-III","P-IV,  Q-I,  R-II,  S-III","P-IV, Q-I,    R-III, S-II",,,
qp_2018,,"Consider the following statements regarding the slow start phase of the TCP congestion 
control algorithm.  Note that cwnd stands for the TCP congestion window and MSS denotes 
the Maximum Segment Size. 

  (i) The cwnd increases by 2 MSS on every successful acknowledgment. 
 (ii) The cwnd approximately doubles on every successful acknowledgement. 
(iii) The cwnd increases by 1 MSS every round trip time. 
 (iv) The cwnd approximately doubles every round trip time. 

Which one of the following is correct?",Only (ii) and (iii) are true,Only (i) and (iii) are true,Only (iv) is true,Only (i) and (iv) are true,,,
qp_2018,,"Two people, P and Q, decide to independently roll two identical dice, each with 6 faces, 
numbered 1 to 6. The person with the lower number wins. In case of a tie, they roll the dice 
repeatedly until there is no tie. Define a trial as a throw of the dice by P and Q. Assume that 
all 6 numbers on each dice are equi-probable and that all trials are independent. The 
probability (rounded to 3 decimal places) that one of them wins on the third trial is ____.",,,,,EngineeringMathematics,,
qp_2018,,"The value of <sup>&pi;/4</sup>&int;<sub>0</sub> xcos(x<sup>2</sup>)dx  correct to three decimal places  
(assuming that  &pi; = 3.14 ) is ____.",,,,,,,
qp_2018,,"Consider a matrix A = uv<sup>T</sup>  where u = [1] , v = [1] . Note that v<sup>T</sup> denotes the     
                                     [2]       [1]
transpose of v. The largest eigenvalue of A  is ____.",,,,,EngineeringMathematics,,
qp_2018,,"The chromatic number of the following graph is ____. 

<img src=""img/2018_18.png"" width=""100px"" height=""100px"" />",,,,,,,
qp_2018,,"Let G be a finite group on 84 elements. The size of a largest possible proper subgroup of G 
is ____.",,,,,,,
qp_2018,,"The postorder traversal of a binary tree is 8,9,6,7,4,5,2,3,1. The inorder traversal of the same 
tree is 8,6,9,4,7,2,5,1,3. The height of a tree is the length of the longest path from the root to 
any leaf. The height of the binary tree above is ____.",,,,,,,
qp_2018,,"Consider the following C program: 

<code>
#include < stdio.h > 

int counter = 0; 

int calc (int a, int b) { 
    int c; 

    counter++; 
    if (b==3) return (a*a*a); 
    else { 
        c = calc(a, b/3); 
        return (c*c*c); 
    } 
} 

int main (){ 
    calc(4, 81); 
    printf (""%d"", counter); 
} 
</code>

The output of this program is ____.",,,,,,,
qp_2018,,"Consider the sequential circuit shown in the figure, where both flip-flops used are positive 
edge-triggered D flip-flops. 

<img src=""img/2018_22.png"" width=""100px"" height=""100px"" />

The number of states in the state transition diagram of this circuit that have a transition back 
to the same state on some value of ""in"" is ____.",,,,,,,
qp_2018,,"A 32-bit wide main memory unit with a capacity of 1 GB is built using 256M x 4-bit DRAM 
chips. The number of rows of memory cells in the DRAM chip is 2<sup>14</sup>. The time taken to 
perform one refresh operation is 50 nanoseconds. The refresh period is 2 milliseconds. The 
percentage (rounded to the closest integer) of the time available for performing the memory 
read/write operations in the main memory unit is ____.",,,,,,,
qp_2018,,"Consider a system with 3 processes that share 4 instances of the same resource type. Each 
process can request a maximum of K instances. Resource instances can be requested and 
released only one at a time. The largest value of K that will always avoid deadlock is ____.",,,,,,,
qp_2018,,"Consider a long-lived TCP session with an end-to-end bandwidth of 1 Gbps (= 10<sup>9</sup> bits-per-
second). The session starts with a sequence number of 1234. The minimum time (in seconds, 
rounded to the closest integer) before this sequence number can be used again is ____.",,,,,,,
qp_2018,,"Consider a matrix P whose only eigenvectors are the multiples of [1] .  
                                                                 [4]

 Consider the following statements. 

    (I) P does not have an inverse 
   (II) P has a repeated eigenvalue 
  (III) P cannot be diagonalized 

Which one of the following options is correct?",Only I and III are necessarily true,Only II is necessarily true,Only I and II are necessarily true,Only II and III are necessarily true,,,
qp_2018,,"Let N be the set of natural numbers. Consider the following sets. 

       P:  Set of Rational numbers (positive and negative) 
       Q:  Set of functions from {0, 1} to N 
       R:  Set of functions from N to {0, 1} 
       S:  Set of finite subsets of N. 

Which of the sets above are countable?",Q and S only,P and S only,P and R only,"P, Q and S only",,,
qp_2018,,"Consider the first-order logic sentence 

&phi; &equiv;  &exist;s&exist;t&exist;u&forall;v&forall;w&forall;x&forall;y&psi;(s, t, u, v, w, x, y) 

where &psi;(s, t, u, v, w, x, y) is a quantifier-free first-order logic formula using only predicate 
symbols, and possibly equality, but no function symbols. Suppose &phi; has a model with a 
universe containing 7 elements.   

Which one of the following statements is necessarily true?",There exists at least one model of &phi; with universe of size less than or equal to 3.,There exists no model of &phi; with universe of size less than or equal to 3.,There exists no model of &phi; with universe of size greater than 7.,Every model of &phi; has a universe of size equal to 7.,,,
qp_2018,,"Consider the following C program:  

<code>
#include< stdio.h > 

void fun1(char *s1, char *s2){ 
 char *tmp; 
 tmp = s1; 
 s1 = s2; 
 s2 = tmp; 
} 
void fun2(char **s1, char **s2){ 
 char *tmp; 
 tmp = *s1; 
 *s1 = *s2; 
 *s2 = tmp; 
} 
int main(){ 
 char *str1 = ""Hi"", *str2 = ""Bye""; 
 fun1(str1, str2);   printf(""%s %s "", str1, str2); 
 fun2(&str1, &str2); printf(""%s %s"", str1, str2); 
 return 0; 
}
</code> 

The output of the program above is",Hi Bye Bye Hi,Hi Bye Hi Bye,Bye Hi Hi Bye,Bye Hi Bye Hi,,,
qp_2018,,"Let G be a simple undirected graph. Let T<sub>D</sub> be a depth first search tree of G. Let T<sub>B</sub> be a 
breadth first search tree of G. Consider the following statements. 

  (I) No edge of G is a cross edge with respect to T<sub>D</sub>.(A cross edge in G is between two 
      nodes neither of which is an ancestor of the other in T<sub>D</sub>.) 
 (II) For every edge (u,v) of G, if u is at depth i and v is at depth j in T<sub>B</sub>, then |i - j| = 1.
 
Which of the statements above must necessarily be true?",I only,II only,Both I and II,Neither I nor II,,,
qp_2018,,"Assume that multiplying a matrix G<sub>1</sub> of dimension p x  q with another matrix G<sub>2</sub> of 
dimension q x r requires pqr scalar multiplications. Computing the product of n matrices 
G<sub>1</sub>G<sub>2</sub>G<sub>3</sub>...G<sub>n</sub> can be done by parenthesizing in different ways. Define Gi Gi+1 as an explicitly 
computed pair for a given paranthesization if they are directly multiplied. For example, in 
the matrix multiplication chain G<sub>1</sub>G<sub>2</sub>G<sub>3</sub>G<sub>4</sub>G<sub>5</sub>G<sub>6</sub> using parenthesization  
(G<sub>1</sub>(G<sub>2</sub>G<sub>3</sub>))(G<sub>4</sub>(G<sub>5</sub>G<sub>6</sub>)),  G<sub>2</sub>G<sub>3</sub> and G<sub>5</sub>G<sub>6</sub> are the only explicitly computed pairs. 

Consider a matrix multiplication chain F<sub>1</sub>F<sub>2</sub>F<sub>3</sub>F<sub>4</sub>F<sub>5</sub>, where matrices F<sub>1</sub>, F<sub>2</sub>, F<sub>3</sub>, F<sub>4</sub> and F<sub>5</sub> are 
of dimensions 2 x 25, 25 x 3, 3 x 16, 16 x 1 and 1 x 1000, respectively. In the parenthesization of 
F<sub>1</sub>F<sub>2</sub>F<sub>3</sub>F<sub>4</sub>F<sub>5</sub>  that minimizes the total number of scalar multiplications, the explicitly 
computed pairs is/are",F<sub>1</sub>F<sub>2</sub> and F<sub>3</sub>F<sub>4</sub> only,F<sub>2</sub>F<sub>3</sub> only,F<sub>3</sub>F<sub>4</sub> only,F<sub>1</sub>F<sub>2</sub> and F<sub>4</sub>F<sub>5</sub> only,,,
qp_2018,,"Consider the following C code. Assume that unsigned long int type length is 64 
bits. 

<code>
unsigned long int fun(unsigned long int n){ 
    unsigned long int i, j = 0, sum = 0; 
    for (i = n; i > 1; i = i/2) j++; 
    for ( ; j > 1; j = j/2) sum++; 
    return(sum); 
}
</code> 

The value returned when we call fun with the input 2<sup>40</sup> is",4,5,6,40,,,
qp_2018,,"Consider the unsigned 8-bit fixed point binary number representation below, 

                    b7  b6  b5  b4  b3 .  b2   b1  b0 

where the position of the binary point is between b3 and b2.  Assume b7 is the most significant 
bit.  Some of the decimal numbers listed below cannot be represented exactly in the above 
representation: 
(i) 31.500       (ii)     0.875     (iii)  12.100      (iv)   3.001 

Which one of the following statements is true?","None of (i), (ii), (iii), (iv) can be exactly represented",Only (ii) cannot be exactly represented,Only (iii) and (iv) cannot be exactly represented,Only (i) and (ii) cannot be exactly represented,,,
qp_2018,,"The size of the physical address space of a processor is 2<sup>P</sup> bytes. The word length is 
2<sup>W</sup> bytes. The capacity of cache memory is 2<sup>N</sup> bytes. The size of each cache block is 
2<sup>M</sup> words. For a K-way set-associative cache memory, the length (in number of bits) of the 
tag field is",P - N - log<sub>2</sub> K,P - N + log<sub>2</sub> K,P - N - M - W - log<sub>2</sub> K,P - N - M - W + log<sub>2</sub> K,,,
qp_2018,,"Consider the following languages:   

    I. {a<sup>m</sup>b<sup>n</sup>c<sup>p</sup>d<sup>q</sup>| m + p = n + q, where m, n, p, q &ge; 0} 
   II. {a<sup>m</sup>b<sup>n</sup>c<sup>p</sup>d<sup>q</sup>| m = n and p = q, where m, n, p, q &ge; 0} 
  III. {a<sup>m</sup>b<sup>n</sup>c<sup>p</sup>d<sup>q</sup>| m = n = p and p &ne; q, where m, n, p, q &ge; 0} 
   IV. {a<sup>m</sup>b<sup>n</sup>c<sup>p</sup>d<sup>q</sup>| mn = p + q, where m, n, p, q &ge; 0} 

Which of the languages above are context-free?",I and IV only,I and II only,II and III only,II and IV only,,,
